,junsi_name,start,end,place
313,"눈으로 걷는 순례, 한국천주교회사",2020.11.28.,오픈런,절두산순교성지
314,오프라인 웹툰체험관,2020.11.03.,2021.12.31.,오프라인 웹툰 체험관
315,스마트서울전시관,2020.10.27.,오픈런,시민청
316,"이집트 - 삶, 죽음, 부활의 이야기",2019.12.16.,2021.11.07.,국립중앙박물관
317,미니언즈 제주 특별전,2020.07.31.,2021.10.03.,아쿠아플라넷 제주
318,외국인이 바라본 대한민국 경제발전 100년,2018.10.31.,2021.12.31.,글로벌지식협력단지
319,사도회관,2018.06.25.,오픈런,천주교서울대교구역사관
320,박물관은 살아있다,2014.03.06.,오픈런,대일빌딩
321,이수영 : 완만한 미행,2021.06.02.,2021.06.25.,유진화랑
322,청신 : Black Neon : 어떤 정물,2021.05.25.,2021.06.13.,맥화랑
323,YMB : contemplate nature [life],2021.05.26.,2021.06.15.,홍티예술촌
324,안봉균 개인전,2021.06.01.,2021.06.30.,갤러리 마레
325,Life at HOME,2021.05.21.,2021.06.13.,AK갤러리
326,박상민 : 휴지,2021.05.23.,2021.06.19.,의정서
327,INN M CLUB BEST ARTIST 8인전,2021.05.18.,2021.06.13.,성원아트갤러리
328,임주원 : 그물에 걸리지 않는 바람,2021.05.13.,2021.06.06.,낙동강문화관
329,BOOK+IMAGE9 : 스타의 탄생,2021.04.30.,오픈런,미메시스 아트 뮤지엄
330,미디어 아트展 자연환상곡,2021.05.01.,2022.05.01.,농협안성팜랜드
331,자라는 숲,2020.11.23.,2021.12.27.,화성시어린이문화센터
332,김대섭展,2020.11.07.,오픈런,카페 람
333,보이지 않는 거대한 미생물의 세계,2020.11.03.,오픈런,화성시어린이문화센터
334,시대를 보는 눈 : 한국근현대미술,2020.07.21.,2022.07.31.,국립현대미술관 과천
335,BMA 소장품 하이라이트2_ 우리는 모두가 위대한 혼자였다,2020.07.17.,2021.10.03.,부산시립미술관
336,Autumn Now,2019.09.25.,오픈런,앤갤러리
337,Wish you were here,2021.05.21.,2021.06.06.,공간독립
338,"잇다, 있다",2021.05.10.,2021.06.03.,달성군청 참꽃갤러리
339,경북대학교미술관 소장품전,2020.01.06.,오픈런,경북대학교 대구캠퍼스미술관
340,"이루매, 미소 짓다",2020.09.28.,오픈런,잇츠룸 갤러리카페
341,뷰티인사이드 로맨틱 포토 에디션,2019.11.01.,오픈런,울산업스퀘어
342,이호영 : 가려진 실존,2021.05.10.,2021.06.04.,기억공장1945
343,세계명화와 함께하는 색깔여행 展,2021.06.02.,2021.06.23.,충주시문화회관
344,다다선선展,2021.06.01.,2021.06.27.,갤러리985
345,김빛나 : 6월 빛나,2021.06.01.,2021.06.30.,이피커피
346,공주갤러리주간,2021.05.21.,2021.06.03.,"갤러리쉬갈, 공주문화원, 대통길작은미술관, 이미정갤러리, 공주문화예술촌"
347,"초대전 : 균형감각, 조선왕실의 문화",2021.05.12.,2021.06.06.,전주공예품전시관
348,남해각 일상의 역사,2020.09.25.,오픈런,남해각
349,조해경 : 마음의 정원,2021.05.24.,2021.06.15.,나비갤러리
350,그림 보러 가지 않을래?,2021.05.29.,2021.06.05.,춘천문화예술회관
351,아트하우스 갤러리 투어,2020.12.13.,오픈런,곡성 강빛마을 펜션
352,풍경을 그려내는 법,2020.12.22.,2021.12.31.,국립현대미술관 청주
353,"강기석 : 놀라지말아요, 브라질이니까",2020.09.28.,오픈런,탠덤커피클럽
354,현대미술가 조영남의 예술세계,2020.08.12.,2021.08.13.,아산갤러리
355,이상원展,2019.09.04.,오픈런,이상원미술관
356,김택화 미술관 상설전,2019.12.16.,오픈런,김택화미술관
357,아라리오컬렉션,2014.10.01.,오픈런,아라리오뮤지엄 탑동시네마
358,아라리오컬렉션,2014.10.01.,오픈런,아라리오뮤지엄 동문모텔
359,이동기 : 펜타곤,2021.05.27.,2021.07.17.,피비갤러리
360,김상원 : 한국의 멋과 기상,2021.05.03.,2021.06.30.,대경뮤지엄
361,김광우: 물 길 따라 바람타고 흙으로 가는 길전,2021.05.26.,2021.07.21.,백영수미술관
362,배수영 : HOPE,2021.05.11.,2021.06.30.,헤드비갤러리
363,황영성 : 소와 가족이야기,2021.04.23.,2021.07.20.,무각사
364,다시 만난 세계 : 유토피아,2021.04.23.,2021.06.20.,문화제조창C
365,정정엽: 조용한 소란,2021.04.20.,2021.10.24.,서울식물원식물문화센터
366,필·소·굳 : 2021 신축년 소,2021.01.08.,2021.06.30.,스페이스 신선
367,권민호 : 회색 숨,2020.10.29.,2021.11.14.,국립현대미술관 청주
368,김미아 : 나 어릴 적에,2021.03.02.,2021.06.02.,레드브릭커피하우스
369,제66회 창작미술협회전,2021.05.25.,2021.06.02.,예술의전당한가람미술관
370,김수영 : The First Village,2021.05.27.,2021.06.02.,tya갤러리
371,조수빈 :  ,2021.05.24.,2021.06.02.,공간일리
372,이희욱 : 인간의 얼굴,2021.05.20.,2021.06.02.,에이라운지 갤러리
373,F8 소풍(逍風),2021.05.27.,2021.06.02.,아트스페이스 퀄리아
374,이재윤 : 빛과 마음의 소리,2021.03.03.,2021.06.02.,셀트리온스킨큐어 강남센터
